"","album_num_tracks","weeks_on_chart","streams","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","days_since_release","rank"
"346",17,37,3119077,0.795,0.8,1,-6.32,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,202735,195,37
"347",44,19,3032552,0.577,0.45,0,-8.516,0.0834,0.357,0,0.111,0.83,205.863,216120,167,41
"348",14,44,2929106,0.558,0.559,6,-9.222,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,1749,44
"349",14,56,2915647,0.764,0.705,8,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667,314,45
"350",3,61,2909889,0.578,0.449,1,-6.349,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956,426,46
"351",16,36,2907880,0.711,0.611,1,-5.453,0.33,0.00588,0,0.23,0.144,134.093,252262,237,47
"352",16,1,2732407,0.499,0.404,1,-9.469,0.381,0.0686,1.11e-06,0.125,0.237,77.565,211133,6,53
"353",20,17,2643338,0.773,0.422,1,-4.572,0.187,0.00783,0.00692999999999999,0.129,0.488,77.502,136267,112,56
"354",1,26,2588675,0.687,0.781,1,-4.806,0.053,0.0361,0,0.0755,0.688,97.014,193507,181,57
"355",18,20,2458289,0.659,0.745,10,-3.599,0.0347,0.0417,0,0.296,0.54,74.967,185600,56,63
"356",1,29,2435972,0.717,0.671,0,-5.077,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657,223,66
"357",13,83,2355501,0.702,0.825,6,-3.787,0.0601,0.00883,0,0.0674,0.915,102.977,203064,769,73
"358",1,15,2323703,0.754,0.763,7,-4.627,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,164819,182,74
"359",15,71,2277535,0.839,0.81,5,-5.274,0.0568,0.501,0,0.117,0.814,129.014,209269,1679,80
"360",17,185,2211744,0.755,0.522,2,-4.368,0.0575,0.533,0,0.0685,0.925,89.96,157560,972,89
"361",14,45,2164785,0.828,0.621,8,-6.414,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173,314,93
"362",13,183,2145548,0.897,0.662,1,-6.903,0.292,0.0852,0,0.534,0.389,112.511,145543,1308,97
"363",21,35,2124684,0.803,0.597,11,-6.035,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,244,99
"364",17,8,2116964,0.795,0.526,6,-9.086,0.204,0.067,2e-06,0.134,0.194,140.037,181393,55,101
"365",1,8,2009065,0.814,0.628,7,-7.178,0.221,0.167,0,0.101,0.677,123.977,201334,55,112
"366",12,1,1992512,0.905,0.962,4,-3.197,0.0856,0.0299,0,0.0272,0.906,129.969,174647,6,114
"367",8,37,1971112,0.586,0.559,4,-6.725,0.05,0.639,0,0.0872,0.437,177.945,167480,349,117
"368",16,35,1958555,0.627,0.589,0,-9.056,0.0405,0.497,7.05e-05,0.324,0.247,115.284,295293,4872,119
"369",10,37,1956953,0.773,0.47,2,-7.93,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,783,120
"370",17,114,1940523,0.963,0.346,5,-9.309,0.53,0.0355,0,0.108,0.562,119.957,142273,1448,121
"371",16,22,1915913,0.789,0.858,1,-5.542,0.311,0.127,0,0.349,0.775,140.022,219333,3923,126
"372",19,5,1880756,0.812,0.855,7,-3.725,0.0554,0.0789,0.000167,0.108,0.573,90.04,192477,41,132
"373",16,79,1874104,0.731,0.573,4,-10.059,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090,524,134
"374",14,17,1873934,0.639,0.628,6,-7.578,0.0399,0.0381,0,0.386,0.43,90.482,237507,5350,135
"375",1,27,1872761,0.639,0.703,4,-6.33,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301,212,136
"376",24,37,1860100,0.39,0.499,7,-7.778,0.0381,0.632,0.00049699999999999,0.115,0.34,200.156,275194,503,140
"377",21,35,1853820,0.666,0.465,1,-8.545,0.26,0.0503,0,0.215,0.292,167.937,291175,244,141
"378",16,108,1844799,0.703,0.757,1,-3.612,0.05,0.617,0,0.106,0.696,82.008,221747,1714,145
"379",19,61,1813245,0.673,0.649,1,-8.433,0.196,0.188,0,0.122,0.47,153.075,153800,1455,155
"380",8,43,1806636,0.754,0.646,7,-5.795,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573,1042,157
"381",13,3,1805256,0.451,0.876,10,-5.205,0.414,0.261,0,0.098,0.227,87.306,227176,1728,159
"382",12,2,1791977,0.594,0.679,7,-3.702,0.345,0.484,7.83e-06,0.114,0.66,106.726,152613,13,161
"383",14,95,1781695,0.8,0.585,10,-7.343,0.0924,0.264,0,0.153,0.779,126.058,213400,1847,164
"384",10,58,1781502,0.586,0.616,5,-7.964,0.0324,0.182,0,0.0927,0.719,148.088,242096,175,165
"385",11,12,1777785,0.527,0.461,7,-5.908,0.0269,0.118,0,0.0831,0.227,128.153,214405,55,166
"386",1,2,1753890,0.744,0.608,2,-6.386,0.0442,0.0295,0,0.397,0.0692,130.045,221538,13,171
"387",1,49,1752463,0.672,0.717,5,-7.476,0.226,0.103,0,0.398,0.473,157.905,180380,342,172
"388",11,200,1729043,0.797,0.533,0,-9.74,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,1714,176
"389",20,16,1721363,0.828,0.591,1,-6.217,0.109,0.0199,0.000323,0.361,0.202,119.251,193347,112,178
"390",1,3,1705582,0.768,0.714,10,-5.11,0.0401,0.352,0,0.15,0.842,131.443,163026,153,180
"391",1,7,1679685,0.783,0.75,5,-5.762,0.078,0.426,0,0.241,0.88,97.953,140665,48,186
"392",10,154,1672508,0.88,0.428,9,-8.28,0.206,0.149,5.05e-05,0.114,0.333,100.007,172800,1648,189
"393",14,13,1665754,0.869,0.694,1,-3.35,0.0783,0.356,0.00125,0.0878,0.511,90.02,224997,146,191
"394",20,49,1640068,0.548,0.847,1,-3.237,0.186,0.0622,0,0.0816,0.1,171.447,297787,7284,196
"395",18,54,1638303,0.65,0.825,0,-4.645,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,776,197
